criterion , max_depth , min_samples_split , Accuracy
gini , 70 , 5 , 0.777180661578
gini , 70 , 6 , 0.772602689931
gini , 70 , 7 , 0.779856052345
gini , 70 , 8 , 0.781376226827
gini , 70 , 9 , 0.783663395129
gini , 70 , 10 , 0.788246455834
gini , 80 , 2 , 0.777181388586
gini , 80 , 3 , 0.772602689931
gini , 80 , 4 , 0.774516175936
gini , 80 , 5 , 0.774897855325
gini , 80 , 6 , 0.777943293348
gini , 80 , 7 , 0.777182842603
gini , 80 , 8 , 0.780998182479
gini , 80 , 9 , 0.784431842966
gini , 80 , 10 , 0.780617230098
gini , 90 , 2 , 0.777947655398
gini , 90 , 3 , 0.778325699746
gini , 90 , 4 , 0.781760087241
gini , 90 , 5 , 0.77832351872
gini , 90 , 6 , 0.777563067975
gini , 90 , 7 , 0.782526354053
gini , 90 , 8 , 0.780618684115
gini , 90 , 9 , 0.779466375863
gini , 90 , 10 , 0.784812795347
gini , 100 , 2 , 0.774892766267
gini , 100 , 3 , 0.779851690294
gini , 100 , 4 , 0.779851690294
gini , 100 , 5 , 0.776415121774
gini , 100 , 6 , 0.774127953471
gini , 100 , 7 , 0.777944020356
gini , 100 , 8 , 0.784431842966
gini , 100 , 9 , 0.786717557252
gini , 100 , 10 , 0.785192293711
entropy , None , 2 , 0.775652490004
entropy , None , 3 , 0.774515448928
entropy , None , 4 , 0.773749182116
entropy , None , 5 , 0.771458378771
entropy , None , 6 , 0.772599781897
entropy , None , 7 , 0.771839331152
entropy , None , 8 , 0.771075245365
entropy , None , 9 , 0.775272264631
entropy , None , 10 , 0.779478007997
entropy , 5 , 2 , 0.691331152308
entropy , 5 , 3 , 0.690950199927
entropy , 5 , 4 , 0.690950199927
entropy , 5 , 5 , 0.692857142857
entropy , 5 , 6 , 0.689804434751
entropy , 5 , 7 , 0.693239549255
entropy , 5 , 8 , 0.692476190476
entropy , 5 , 9 , 0.693621228644
entropy , 5 , 10 , 0.692857869866
entropy , 10 , 2 , 0.770695019993
entropy , 10 , 3 , 0.772988004362
entropy , 10 , 4 , 0.770696474009
entropy , 10 , 5 , 0.777946201381
entropy , 10 , 6 , 0.778328607779
entropy , 10 , 7 , 0.768788804071
entropy , 10 , 8 , 0.771075245365
entropy , 10 , 9 , 0.775275172664
entropy , 10 , 10 , 0.779092693566
entropy , 20 , 2 , 0.775656852054
entropy , 20 , 3 , 0.771459832788
entropy , 20 , 4 , 0.772604143948
entropy , 20 , 5 , 0.777182842603
entropy , 20 , 6 , 0.773744093057
entropy , 20 , 7 , 0.769168302435
entropy , 20 , 8 , 0.770314067612
entropy , 20 , 9 , 0.777562340967
entropy , 20 , 10 , 0.774515448928
entropy , 30 , 2 , 0.776799709197
entropy , 30 , 3 , 0.77756088695
entropy , 30 , 4 , 0.777563067975
entropy , 30 , 5 , 0.771462013813
entropy , 30 , 6 , 0.768793166121
entropy , 30 , 7 , 0.776034169393
entropy , 30 , 8 , 0.773363867684
entropy , 30 , 9 , 0.775275899673
entropy , 30 , 10 , 0.778331515812
entropy , 40 , 2 , 0.776419483824
entropy , 40 , 3 , 0.774511086877
entropy , 40 , 4 , 0.776424572883
entropy , 40 , 5 , 0.77222173755
entropy , 40 , 6 , 0.772604870956
entropy , 40 , 7 , 0.777940385314
entropy , 40 , 8 , 0.773744093057
entropy , 40 , 9 , 0.776415848782
entropy , 40 , 10 , 0.775657579062
entropy , 50 , 2 , 0.770689930934
entropy , 50 , 3 , 0.774511086877
entropy , 50 , 4 , 0.769932388222
entropy , 50 , 5 , 0.772601962923
entropy , 50 , 6 , 0.778325699746
entropy , 50 , 7 , 0.777183569611
entropy , 50 , 8 , 0.776034896401
entropy , 50 , 9 , 0.771457651763
entropy , 50 , 10 , 0.774896401309
entropy , 60 , 2 , 0.77031479462
entropy , 60 , 3 , 0.771459832788
entropy , 60 , 4 , 0.772219556525
entropy , 60 , 5 , 0.776034169393
entropy , 60 , 6 , 0.77947219193
entropy , 60 , 7 , 0.776034169393
entropy , 60 , 8 , 0.771075245365
entropy , 60 , 9 , 0.776034896401
entropy , 60 , 10 , 0.781764449291
entropy , 70 , 2 , 0.77145910578
entropy , 70 , 3 , 0.77031479462
entropy , 70 , 4 , 0.773749909124
entropy , 70 , 5 , 0.772224645583
entropy , 70 , 6 , 0.775658306071
entropy , 70 , 7 , 0.776037077426
entropy , 70 , 8 , 0.776415848782
entropy , 70 , 9 , 0.77412868048
entropy , 70 , 10 , 0.776806252272
entropy , 80 , 2 , 0.772223191567
entropy , 80 , 3 , 0.772604143948
entropy , 80 , 4 , 0.771841512177
entropy , 80 , 5 , 0.7722173755
entropy , 80 , 6 , 0.772221010542
entropy , 80 , 7 , 0.774507451836
entropy , 80 , 8 , 0.770692838968
entropy , 80 , 9 , 0.777182842603
entropy , 80 , 10 , 0.776042166485
entropy , 90 , 2 , 0.776041439477
entropy , 90 , 3 , 0.769169029444
entropy , 90 , 4 , 0.772987277354
entropy , 90 , 5 , 0.771457651763
entropy , 90 , 6 , 0.77222173755
entropy , 90 , 7 , 0.77031479462
entropy , 90 , 8 , 0.774888404217
entropy , 90 , 9 , 0.775271537623
entropy , 90 , 10 , 0.776421664849
entropy , 100 , 2 , 0.775658306071
entropy , 100 , 3 , 0.778326426754
entropy , 100 , 4 , 0.778329334787
entropy , 100 , 5 , 0.771841512177
entropy , 100 , 6 , 0.767645946928
entropy , 100 , 7 , 0.768023991276
entropy , 100 , 8 , 0.771075972374
entropy , 100 , 9 , 0.772221010542
entropy , 100 , 10 , 0.774133769538
